"","Date","Experiment.Week","Location","Plant.Number","Pair","Size","Start.Time","End.Time","Avg.open.flowers.per.inflorescence","Total.inflorescenses","Total.Flowers","Honeybees","Volume","Sugar_conc","Sugar_content","Volume_var","Sugar_conc_var","Sugar_content_var","Temperature","Humidity","Wind","Speed","Gust","Pressure","Solar","Clustered","East","hotDay","visits"
"52","6/2/2017","3","Pair 2 Small","1","2","Small","2017-06-02 10:01:00","2017-06-02 10:16:00",1.51851393987789,0.845098040014257,2.36361197989214,1.17609125905568,0.227243781503063,-0.382289235742901,-0.152710176740176,-0.0235282223735671,-2.11660353333247,-0.868554900683656,1.86153441085904,"63%","West",0.544068044350276,"6.8mph","29.91in",2.84934262226953,TRUE,TRUE,TRUE,FALSE
"53","6/2/2017","3","Pair 3 Large","1","3","Large","2017-06-02 10:33:00","2017-06-02 10:48:00",1.78390357927273,1.57978359661681,3.36368717588955,1.25527250510331,0.116026303455129,-0.364292026178529,-0.246883943779558,-1.57516371812663,-2.64587127339453,-1.94548104358211,1.88649072517248,"58%","SW",0.255272505103306,"6mph","29.91in",2.90342914708876,FALSE,FALSE,TRUE,FALSE
"54","6/2/2017","3","Pair 3 Small","1","3","Small","2017-06-02 10:49:00","2017-06-02 11:04:00",0.89209460269048,0.698970004336019,1.5910646070265,0,0.178257320812189,-0.364761815222189,-0.225923482514344,-0.0427320133175737,-1.88443523127465,-0.846664657946294,1.88081359228079,"58%","West",0.544068044350276,"9.4mph","29.91in",2.92201142460606,FALSE,FALSE,TRUE,FALSE
"55","6/2/2017","3","Pair 4 Large","2","4","Large","2017-06-02 11:24:00","2017-06-02 11:39:00",1.81954393554187,1.34242268082221,3.16196661636407,1.65321251377534,0.0721119752659088,-0.263997293998038,-0.201174618978827,-0.788487110184643,-2.34484971177425,-1.46779126546314,1.89762709129044,"52%","West",0.89209460269048,"15.3mph","29.91in",2.98649181515768,TRUE,FALSE,TRUE,TRUE
"56","6/2/2017","3","Pair 4 Small","2","4","Small","2017-06-02 11:08:00","2017-06-02 11:23:00",1.47421626407626,1,2.47421626407626,1.20411998265592,0.289059138026591,-0.330329349334133,-0.0587790430185469,-0.0511692753408453,-2.42837179514896,-0.884507282403811,1.88592633980143,"55%","WNW",0.838849090737255,"11.9mph","29.91in",2.96467203765826,TRUE,FALSE,TRUE,FALSE
"57","6/2/2017","3","Pair 5 Large","2","5","Large","2017-06-02 11:01:00","2017-06-02 11:17:00",1.55630250076729,1.39794000867204,2.95424250943932,1.61278385671974,-0.28330122870355,-0.041941759737072,-0.340367667644448,-1.3201038766113,-1.65830599460861,-1.55229735525733,1.88986172125819,"53%","West",0.716003343634799,"15.3mph","29.91in",2.94847409527154,FALSE,FALSE,TRUE,TRUE
"58","6/2/2017","3","Pair 5 Small","1","5","Small","2017-06-02 11:19:00","2017-06-02 11:35:00",0.991226075692495,0.845098040014257,1.83632411570675,0.301029995663981,-0.310173375103851,-0.0478176724542662,-0.388708280780594,-1.38430195781376,-1.39547040404078,-1.83070364682743,1.88592633980143,"55%","WNW",0.838849090737255,"11.9mph","29.91in",2.96467203765826,FALSE,FALSE,TRUE,FALSE
"59","6/2/2017","3","Pair 6 Large","2","6","Large","2017-06-02 10:11:00","2017-06-02 10:26:00",1.47712125471966,1.07918124604762,2.55630250076729,1.30102999566398,-0.209582878357427,-0.294671398858155,-0.461984258112452,-1.36755287654263,-1.13317760451314,-1.31852480466604,1.8733206018154,"60%","WNW",0.255272505103306,"7.7mph","29.91in",2.87397416775049,TRUE,FALSE,TRUE,TRUE
"60","6/2/2017","3","Pair 6 Small","2","6","Small","2017-06-02 10:40:00","2017-06-02 10:56:00",1.53147891704226,1.20411998265592,2.73559889969818,1.27875360095283,-0.425968732272281,-0.471901730814123,-0.815131197531211,-1.430516360023,-1.32952076613229,-1.63858723025033,1.88081359228079,"58%","West",0.544068044350276,"9.4mph","29.91in",2.92201142460606,TRUE,FALSE,TRUE,TRUE
"61","6/6/2017","4","Pair 2 Large","1","2","Large","2017-06-06 11:07:00","2017-06-06 11:22:00",1.44715803134222,1.14612803567824,2.59328606702046,1.20411998265592,0.428134794028789,-0.236643079452589,0.173076952352989,0.143645328848245,-2.23322008399861,-0.724551784525165,1.85913829729453,"67%","West",0.643452676486187,"12.8mph","29.96in",2.92845986500381,TRUE,TRUE,TRUE,FALSE
"62","6/6/2017","4","Pair 2 Small","1","2","Small","2017-06-06 10:52:00","2017-06-06 11:07:00",1.37657695705651,0.778151250383644,2.15472820744016,1.11394335230684,0.430105303464141,-0.255283696714471,0.167418879833736,-0.234328050388691,-2.55622865740183,-1.08876853722623,1.85125834871908,"69%","SSW",0.716003343634799,"11.1mph","29.96in",2.9246023016825,TRUE,TRUE,TRUE,FALSE
